,file,name,enum,xmean,xrmse,PC,CE,EW
74,trends-TP/cmip6-ts/CanESM5:r3i1p2f1_2080.nc,CanESM5,3i1p2f1_2080.nc,3.19787859916687,2.808361768722534,-0.3123761713504791,-0.451399564743042,-0.4150528907775879
75,trends-TP/cmip6-ts/CanESM5:r4i1p1f1_2080.nc,CanESM5,4i1p1f1_2080.nc,3.0863168239593506,2.69203519821167,-0.3213808238506317,-0.4275696277618408,-0.3162345886230469
76,trends-TP/cmip6-ts/CanESM5:r4i1p2f1_2080.nc,CanESM5,4i1p2f1_2080.nc,3.0579984188079834,2.661527156829834,-0.2093038409948349,-0.34682703018188477,-0.3278212547302246
77,trends-TP/cmip6-ts/CanESM5:r5i1p1f1_2080.nc,CanESM5,5i1p1f1_2080.nc,3.204974889755249,2.812586545944214,-0.2744266986846924,-0.4263794422149658,-0.3904404640197754
78,trends-TP/cmip6-ts/CanESM5:r5i1p2f1_2080.nc,CanESM5,5i1p2f1_2080.nc,3.254004955291748,2.85990309715271,-0.3578687310218811,-0.44414591789245605,-0.2909708023071289
79,trends-TP/cmip6-ts/CanESM5:r6i1p1f1_2080.nc,CanESM5,6i1p1f1_2080.nc,3.2063608169555664,2.8158888816833496,-0.2838398814201355,-0.4451327323913574,-0.42221951484680176
80,trends-TP/cmip6-ts/CanESM5:r6i1p2f1_2080.nc,CanESM5,6i1p2f1_2080.nc,3.3018503189086914,2.910609483718872,-0.3531738817691803,-0.4500422477722168,-0.46284937858581543
81,trends-TP/cmip6-ts/CanESM5:r7i1p1f1_2080.nc,CanESM5,7i1p1f1_2080.nc,3.243805408477783,2.8467373847961426,-0.3983520567417145,-0.45050573348999023,-0.2776451110839844
82,trends-TP/cmip6-ts/CanESM5:r7i1p2f1_2080.nc,CanESM5,7i1p2f1_2080.nc,3.2072083950042725,2.818519115447998,-0.29444652795791626,-0.4950740337371826,-0.3280045986175537
83,trends-TP/cmip6-ts/CanESM5:r8i1p1f1_2080.nc,CanESM5,8i1p1f1_2080.nc,3.0837695598602295,2.6878914833068848,-0.25588926672935486,-0.38315844535827637,-0.3289062976837158
84,trends-TP/cmip6-ts/CanESM5:r8i1p2f1_2080.nc,CanESM5,8i1p2f1_2080.nc,3.1645824909210205,2.7685399055480957,-0.2831500470638275,-0.4184267520904541,-0.2588980197906494
85,trends-TP/cmip6-ts/CanESM5:r9i1p1f1_2080.nc,CanESM5,9i1p1f1_2080.nc,3.183305501937866,2.7867674827575684,-0.27939537167549133,-0.4118690490722656,-0.26064348220825195
86,trends-TP/cmip6-ts/CanESM5:r9i1p2f1_2080.nc,CanESM5,9i1p2f1_2080.nc,3.2281463146209717,2.830395460128784,-0.24970276653766632,-0.4268372058868408,-0.267559289932251
87,trends-TP/cmip6-ts/EC-Earth3-CC:r1i1p1f1_2080.nc,EC-Earth3-CC,1i1p1f1_2080.nc,2.1009883880615234,1.7276045083999634,-0.16322574019432068,-0.07931375503540039,-0.6455767154693604
